N,P,K,temperature,humidity,ph,rainfall,label
37.85,63.54,71.97,17.83,11.49,7.23,80.82,chickpea
20.69,68.22,19.11,21.98,14.6,5.45,63.97,kidneybeans
48.33,54.4,55.29,31.88,91.73,6.79,166.3,papaya
26.57,27.26,36.65,30.68,48.78,6.02,93.75,mango
40.94,63.72,17.96,26.98,64.9,6.94,73.4,blackgram
67.84,47.51,16.05,19.79,65.9,6.92,69.18,maize
22.77,52.53,23.45,28.5,85.31,6.43,59.77,mungbean
71.38,37.24,21.55,26.99,64.97,6.75,60.82,maize
18.85,68.44,19.82,27.15,45.15,5.8,127.24,pigeonpeas
21.05,16.36,27.44,28.96,93.14,5.5,161.12,coconut
95.48,15.56,52.58,31.24,90.96,5.9,28.16,muskmelon
76.51,47.63,22.48,22.36,58.32,6.61,66.11,maize
30.77,64.86,23.12,29.33,61.77,7.28,64.69,blackgram
98.19,31.43,32.5,23.27,62.99,6.58,173.17,coffee
24.22,124.54,207.48,23.77,81.64,5.71,70.6,grapes
17.62,51.5,26.8,27.2,88.04,6.25,54.04,mungbean
103.52,29.66,19.47,24.52,57.81,7.08,155.72,coffee
14.65,70.46,17.58,22.44,28.97,5.47,59.5,kidneybeans
136.98,49.03,18.19,23.89,78.32,6.93,79.63,cotton
19.68,120.06,193.54,21.48,91.01,5.82,120.3,apple
113.5,83.47,54.36,25.74,85.15,5.92,108.33,banana
38.88,62.36,30.74,27.85,63.86,7.12,74.0,blackgram
96.11,17.86,49.06,26.88,80.41,6.05,51.45,watermelon
26.72,15.09,30.68,28.45,95.11,5.72,176.73,coconut
12.29,65.83,24.17,22.47,60.98,6.77,35.28,lentil
17.28,21.29,14.45,21.06,90.99,6.7,102.44,orange
51.43,69.53,54.44,33.82,92.01,6.54,131.75,papaya
17.13,65.85,24.72,28.39,45.34,5.85,133.47,pigeonpeas
17.82,16.08,11.26,19.97,93.25,7.49,107.93,orange
77.94,38.14,32.96,22.22,78.67,6.53,218.71,rice
100.61,15.4,45.9,29.91,89.6,6.03,19.48,muskmelon
16.2,75.74,23.73,27.53,53.68,5.37,137.63,pigeonpeas
106.84,10.78,48.98,26.87,90.6,6.42,30.6,muskmelon
22.41,16.29,28.96,25.34,91.83,5.56,182.29,coconut
78.83,43.79,40.5,24.62,74.4,6.75,151.09,jute
110.83,90.08,58.66,27.58,80.13,6.26,113.78,banana
41.07,62.41,25.92,28.73,65.79,7.17,62.09,blackgram
53.49,55.96,49.32,35.57,94.35,6.54,175.4,papaya
93.67,88.1,47.58,24.03,71.8,6.38,112.4,banana
120.13,54.9,26.32,22.85,81.01,6.47,88.25,cotton
101.16,21.27,57.07,24.94,85.42,6.83,37.99,watermelon
14.71,11.74,9.39,21.68,93.7,7.23,117.26,orange
91.65,27.66,36.77,27.21,55.43,6.76,154.97,coffee
49.19,65.88,77.25,17.96,15.09,7.24,63.84,chickpea
79.7,38.81,35.46,22.42,84.27,6.15,180.45,rice
18.51,41.36,46.6,31.31,53.7,3.8,38.88,mothbeans
16.45,12.07,9.54,20.27,93.81,7.12,109.16,orange
17.74,24.63,32.62,31.51,43.38,5.87,103.78,mango
96.71,24.77,35.06,22.15,47.66,6.35,131.89,coffee
22.15,34.02,44.19,28.29,57.25,3.71,54.66,mothbeans
34.87,67.31,19.43,27.84,65.12,7.12,71.6,blackgram
12.82,18.07,48.47,22.3,89.12,6.51,117.78,pomegranate
74.86,53.25,17.18,19.18,57.22,6.68,47.2,maize
19.86,42.34,37.16,28.69,65.56,3.0,49.74,mothbeans
112.28,49.81,12.98,23.16,72.92,6.69,86.42,cotton
37.22,52.43,48.48,35.14,92.98,6.84,140.25,papaya
14.46,69.53,25.96,32.54,45.98,5.85,158.55,pigeonpeas
21.19,39.05,50.27,29.14,49.48,3.04,48.84,mothbeans
16.34,62.84,19.73,17.57,23.73,6.15,59.2,kidneybeans
114.0,27.76,24.96,24.72,46.87,6.69,167.31,coffee
42.69,70.58,28.58,34.37,62.57,7.49,71.83,blackgram
20.82,67.12,19.25,23.74,69.64,6.64,38.55,lentil
16.51,15.14,30.65,26.14,98.88,5.65,196.23,coconut
79.95,47.4,40.39,22.14,86.57,6.16,179.26,rice
18.16,14.84,9.26,21.34,92.56,6.49,122.45,orange
120.4,13.17,44.58,28.47,96.23,6.05,23.67,muskmelon
113.19,19.59,45.85,24.44,83.09,6.96,38.64,watermelon
23.14,66.9,18.95,19.04,23.19,5.35,76.14,kidneybeans
95.52,19.77,52.03,23.37,81.5,6.06,51.5,watermelon
108.58,76.88,55.79,28.41,87.41,5.87,91.83,banana
23.99,64.67,22.56,27.62,49.62,5.36,151.28,pigeonpeas
10.29,33.07,42.52,30.19,45.17,3.0,54.57,mothbeans
106.28,71.33,54.29,26.53,82.83,6.23,124.29,banana
75.3,56.43,33.53,27.92,84.86,7.27,146.41,jute
127.34,46.85,19.8,26.89,82.32,7.37,58.06,cotton
21.22,16.11,38.51,23.54,88.42,6.7,111.79,pomegranate
23.37,65.15,8.37,27.25,42.81,5.21,131.44,pigeonpeas
44.04,62.13,81.38,19.01,19.18,7.83,83.92,chickpea
77.42,53.75,17.19,21.93,73.85,6.31,78.12,maize
22.58,17.07,26.63,24.67,94.56,5.85,213.83,coconut
22.65,20.65,36.19,21.39,90.44,6.49,127.31,pomegranate
76.55,38.62,28.49,21.48,86.1,6.49,195.02,rice
18.86,74.95,22.72,27.73,45.4,5.6,156.42,pigeonpeas
28.48,132.21,209.92,23.55,86.0,5.8,62.86,grapes
39.89,72.61,18.25,31.46,67.76,7.1,65.29,blackgram
20.85,14.24,31.33,28.02,92.85,5.95,197.25,coconut
39.24,66.03,84.67,19.19,7.18,7.2,81.95,chickpea
42.52,70.13,14.04,26.99,62.27,6.8,75.53,blackgram
18.82,17.44,30.65,24.06,94.92,5.57,191.91,coconut
79.46,45.18,14.88,23.74,68.25,6.47,78.47,maize
100.09,76.12,54.44,30.36,81.37,6.58,86.69,banana
22.98,47.11,46.33,27.32,54.85,3.46,53.66,mothbeans
99.54,85.29,41.96,25.52,79.54,6.57,103.63,banana
29.46,63.07,14.48,19.61,23.89,5.63,79.53,kidneybeans
22.18,18.33,46.59,19.28,88.67,6.61,105.63,pomegranate
42.02,66.88,74.48,18.65,12.46,7.36,75.35,chickpea
24.16,19.08,24.91,29.18,96.09,5.62,203.78,coconut
17.35,15.26,6.61,21.02,89.74,6.96,97.12,orange
22.73,69.04,18.77,26.32,43.57,5.86,168.43,pigeonpeas
95.88,79.26,52.03,27.91,67.82,6.31,122.24,banana
87.74,75.23,55.83,28.75,81.45,5.48,100.7,banana
21.13,139.51,206.32,24.84,88.1,6.0,126.8,apple
19.98,70.34,15.63,18.23,23.78,5.95,62.06,kidneybeans
101.63,17.36,51.57,27.81,92.02,6.12,21.24,muskmelon
23.76,47.96,27.79,30.05,84.04,6.61,47.62,mungbean
13.6,38.91,45.8,26.21,55.57,3.51,34.25,mothbeans
22.6,21.56,34.08,28.07,96.06,5.79,165.85,coconut
71.58,40.37,17.23,21.91,66.22,6.43,63.52,maize
12.47,137.94,185.43,20.08,92.0,5.77,98.06,apple
13.39,13.52,24.16,26.07,94.91,5.83,164.38,coconut
20.7,81.93,21.47,18.37,24.69,5.84,69.2,kidneybeans
16.1,51.52,48.32,26.89,58.01,3.35,43.74,mothbeans
16.13,46.66,21.46,32.19,81.46,6.95,55.78,mungbean
15.01,70.59,21.59,24.34,69.76,6.53,48.74,lentil
106.48,19.82,49.68,22.49,82.0,6.58,52.74,watermelon
22.89,47.56,24.03,29.04,86.08,6.51,47.35,mungbean
17.45,69.29,11.65,26.83,47.84,5.43,135.95,pigeonpeas
15.39,58.56,12.82,25.29,44.45,6.29,142.11,pigeonpeas
20.31,64.03,19.34,28.16,37.36,5.84,135.3,pigeonpeas
13.43,66.12,26.65,19.04,21.92,5.32,58.84,kidneybeans
77.0,48.73,24.83,20.37,66.84,6.38,60.29,maize
81.46,44.26,49.7,26.48,84.98,6.52,194.05,jute
33.46,51.9,79.92,21.6,19.72,7.06,75.08,chickpea
18.52,133.35,209.02,22.67,93.0,5.95,125.61,apple
19.54,12.06,10.12,22.33,92.26,6.94,123.65,orange
123.14,47.45,28.33,24.81,79.44,6.64,72.56,cotton
78.27,41.61,35.86,23.52,86.6,5.97,208.03,rice
21.09,14.71,30.32,27.24,92.09,5.78,176.39,coconut
21.45,146.9,205.15,24.68,80.61,5.98,66.37,grapes
14.49,62.43,17.11,22.12,61.26,6.84,51.7,lentil
111.23,20.08,54.04,24.76,89.54,6.43,49.75,watermelon
28.12,142.73,201.87,21.47,77.31,6.03,64.0,grapes
21.25,141.38,187.18,24.69,79.85,5.77,94.86,grapes
30.01,67.17,21.46,30.75,66.84,7.35,62.6,blackgram
19.84,19.53,44.06,22.66,98.81,6.39,86.47,pomegranate
49.42,74.72,76.56,15.76,16.42,6.47,83.23,chickpea
19.61,18.98,29.83,26.63,91.5,6.14,163.26,coconut
69.77,39.93,25.88,21.58,61.65,6.81,53.94,maize
15.5,56.67,17.95,23.54,67.58,6.48,32.84,lentil
28.66,126.01,198.66,23.09,77.5,5.9,80.08,grapes
104.47,16.8,49.93,22.79,84.1,6.27,53.07,watermelon
79.81,42.75,35.34,25.95,80.87,6.46,149.11,jute
106.98,30.14,30.31,26.73,58.45,7.0,164.21,coffee
103.31,33.13,29.19,21.37,49.5,6.92,146.45,coffee
19.06,67.19,14.21,18.4,20.8,6.49,53.88,kidneybeans
73.46,53.38,32.77,24.33,77.22,6.35,169.96,jute
16.65,44.3,46.54,26.95,59.76,3.63,50.32,mothbeans
17.98,66.59,21.39,18.03,18.3,5.71,54.13,kidneybeans
93.8,90.21,61.8,26.92,85.0,5.68,117.9,banana
18.79,65.35,22.93,19.67,22.26,5.84,49.64,kidneybeans
24.9,17.35,36.99,30.37,93.32,6.65,175.44,coconut
52.11,63.12,40.1,33.17,93.9,6.78,128.05,papaya
47.19,57.02,49.62,33.34,89.19,6.54,144.54,papaya
17.8,47.84,23.78,29.0,83.36,6.82,42.9,mungbean
18.08,25.27,38.74,30.51,53.68,6.0,76.52,mango
18.18,20.74,42.11,21.88,84.9,6.46,109.25,pomegranate
107.49,18.6,46.91,27.4,88.62,6.58,42.8,watermelon
25.86,71.98,21.12,22.52,22.49,5.82,64.47,kidneybeans
71.61,46.47,17.56,21.63,65.28,6.66,59.3,maize
26.39,135.73,182.0,22.73,92.49,5.62,121.88,apple
39.82,70.3,23.36,28.5,56.16,6.99,70.94,blackgram
44.48,65.66,74.54,13.7,13.84,6.94,70.13,chickpea
19.53,132.76,205.85,25.53,81.43,6.1,69.85,grapes
21.79,137.25,188.77,21.85,77.63,6.61,74.3,grapes
110.92,78.22,53.44,26.78,79.26,5.77,124.99,banana
120.4,54.77,24.37,23.54,81.89,6.81,100.55,cotton
75.05,38.39,42.06,22.44,79.53,6.07,204.9,rice
18.25,20.07,37.78,22.28,89.86,6.42,105.64,pomegranate
17.33,46.69,15.77,23.0,86.6,6.78,50.1,mungbean
96.21,99.66,54.35,31.74,85.58,6.07,108.62,banana
76.25,42.67,37.08,29.09,80.9,6.1,165.64,jute
16.4,41.34,21.4,26.31,86.31,6.46,33.75,mungbean
77.7,51.37,15.51,22.76,65.83,6.65,62.89,maize
39.91,65.06,84.62,19.9,13.68,7.12,70.28,chickpea
42.1,62.56,76.81,19.44,14.88,7.52,76.0,chickpea
36.24,64.87,84.74,18.23,11.69,7.28,73.32,chickpea
21.9,137.02,196.82,25.66,92.99,5.51,117.98,apple
72.08,49.16,45.9,22.53,76.86,6.41,197.71,rice
19.67,59.75,16.31,16.99,21.83,5.72,57.78,kidneybeans
53.6,66.81,64.73,34.5,90.67,6.84,142.01,papaya
100.15,31.71,25.16,24.55,56.99,6.33,148.7,coffee
40.83,60.09,17.07,31.68,60.74,6.24,65.73,blackgram
22.43,77.28,15.48,19.95,17.29,5.87,55.81,kidneybeans
20.94,29.4,33.41,30.01,51.42,6.29,106.66,mango
15.5,28.51,39.84,32.56,45.68,6.34,91.83,mango
24.68,18.12,31.02,23.54,92.45,5.55,138.73,coconut
50.31,51.75,45.17,32.38,90.67,6.29,149.05,papaya
19.88,138.2,194.97,22.54,88.98,5.59,106.88,apple
35.77,63.78,84.15,17.33,14.79,6.71,84.24,chickpea
14.54,18.33,41.93,19.65,92.78,6.17,100.06,pomegranate
37.46,66.26,76.73,20.9,16.98,7.09,86.22,chickpea
102.15,17.88,51.07,28.98,92.11,6.3,30.98,muskmelon
7.93,146.63,208.54,26.01,94.47,6.27,125.54,apple
94.22,17.68,55.59,25.66,91.7,5.78,23.03,muskmelon
96.99,22.03,43.67,26.02,90.63,6.05,23.66,muskmelon
22.57,23.85,26.09,29.99,51.2,6.45,74.53,mango
20.08,25.4,43.51,32.35,47.95,5.68,76.2,mango
109.43,54.41,13.05,25.44,79.6,7.47,83.41,cotton
22.23,9.6,25.89,27.34,94.27,5.83,181.64,coconut
19.85,21.11,35.45,21.51,90.88,6.91,82.67,pomegranate
83.28,38.99,38.91,24.1,84.48,6.24,226.11,rice
102.76,14.58,47.7,27.65,88.93,5.79,22.0,muskmelon
101.72,25.48,29.39,20.4,58.85,5.97,171.32,coffee
39.96,55.55,49.73,34.51,89.37,6.66,135.24,papaya
18.72,53.22,46.8,26.27,52.84,3.51,53.78,mothbeans
83.7,40.58,9.78,23.87,58.17,6.43,48.3,maize
18.85,27.73,26.03,31.21,50.75,5.55,104.96,mango
99.2,21.8,53.37,28.61,91.2,6.13,32.03,muskmelon
21.01,66.03,16.98,30.1,56.28,5.55,140.82,pigeonpeas
21.39,46.37,23.39,27.77,84.85,6.76,55.01,mungbean
99.58,26.39,32.43,25.39,69.28,6.75,146.74,coffee
16.2,127.12,197.67,25.33,81.57,6.48,58.64,grapes
17.87,14.62,25.32,23.38,95.44,5.97,175.19,coconut
109.2,46.22,23.27,23.3,70.99,6.84,78.44,cotton
17.37,69.27,16.07,28.12,50.23,5.6,152.56,pigeonpeas
81.22,36.22,32.89,22.35,78.76,6.51,217.63,rice
26.92,138.32,193.84,24.65,91.93,5.87,114.49,apple
16.38,15.84,34.37,21.92,85.58,6.98,107.66,pomegranate
103.7,26.56,28.12,27.31,54.54,6.93,177.67,coffee
38.54,59.18,83.42,17.84,15.46,7.96,82.99,chickpea
128.52,53.71,15.58,24.22,82.7,7.35,87.18,cotton
80.11,47.55,36.58,25.01,86.11,6.41,139.87,jute
16.14,27.85,29.96,30.65,56.69,5.79,81.5,mango
96.92,69.57,57.01,25.45,76.58,5.88,108.27,banana
44.96,58.71,45.98,37.12,93.58,6.86,164.54,papaya
16.14,135.89,207.14,18.25,93.04,5.64,112.69,apple
35.39,75.08,77.39,20.43,20.56,7.3,75.68,chickpea
83.7,42.97,38.45,23.33,78.25,6.28,196.3,rice
19.63,73.63,14.85,25.21,45.08,6.01,127.21,pigeonpeas
13.87,44.02,46.51,28.35,43.78,3.23,49.49,mothbeans
8.58,42.72,15.5,27.49,84.39,6.84,33.13,mungbean
80.64,42.76,30.44,24.56,74.57,6.76,153.63,jute
13.79,24.27,39.89,21.88,91.76,6.99,118.35,pomegranate
25.84,140.42,202.5,19.29,81.05,6.37,74.27,grapes
21.34,43.86,40.88,26.56,63.25,3.5,56.26,mothbeans
76.37,38.54,38.0,24.8,77.49,6.91,191.55,jute
81.95,58.05,19.29,20.4,58.1,6.28,59.67,maize
17.15,14.1,20.97,30.21,97.19,5.6,170.9,coconut
77.41,52.6,18.84,22.53,66.61,6.3,69.92,maize
37.75,67.0,82.01,15.11,9.11,6.83,67.79,chickpea
90.63,83.21,40.66,27.08,74.31,6.14,93.91,banana
75.24,39.46,34.82,22.45,78.41,6.59,200.71,rice
14.8,20.51,34.77,26.44,94.61,5.9,210.51,coconut
72.53,52.12,38.08,26.69,82.14,6.44,164.43,jute
21.06,24.76,31.87,29.91,47.48,5.54,104.26,mango
107.38,20.07,55.84,26.0,89.56,5.97,31.67,muskmelon
17.44,138.06,190.44,22.45,91.8,5.86,109.48,apple
108.45,87.8,54.32,30.64,79.67,6.19,97.99,banana
22.93,68.44,13.38,26.08,47.39,5.73,133.05,pigeonpeas
42.17,68.2,24.01,31.58,70.85,7.1,54.11,blackgram
19.21,15.67,13.1,19.38,87.43,6.94,115.62,orange
39.26,64.67,71.03,19.03,14.4,6.65,51.28,chickpea
98.64,17.84,48.28,25.45,83.22,6.88,49.09,watermelon
83.8,82.95,50.2,26.84,83.96,6.22,108.57,banana
19.8,145.77,201.13,20.41,90.58,5.98,130.58,apple
41.12,71.66,71.91,14.48,11.42,7.38,74.48,chickpea
107.93,29.78,21.8,24.32,69.52,6.81,160.52,coffee
12.52,65.06,20.76,28.9,45.45,5.71,112.68,pigeonpeas
12.96,16.35,6.65,22.34,89.71,6.64,129.26,orange
20.66,141.73,185.46,24.54,88.88,6.44,110.06,apple
17.81,16.44,28.29,24.13,98.38,5.55,178.96,coconut
55.73,55.99,53.55,34.32,88.73,6.42,143.75,papaya
89.04,19.04,50.07,26.21,85.19,6.67,43.48,watermelon
19.39,47.67,49.2,30.44,58.29,3.76,47.48,mothbeans
41.05,61.62,53.03,33.13,89.01,6.7,145.88,papaya
45.98,63.95,78.33,18.03,13.65,7.19,78.79,chickpea
17.99,16.37,49.96,25.67,87.4,6.87,115.99,pomegranate
34.31,72.2,78.62,19.34,12.78,6.53,88.18,chickpea
53.72,61.23,46.97,36.67,89.28,6.67,160.5,papaya
23.46,73.89,19.41,19.39,62.19,7.71,43.15,lentil
22.2,127.6,198.78,21.93,90.95,5.49,111.57,apple
17.57,17.5,40.16,22.15,88.7,7.08,92.97,pomegranate
39.86,75.86,87.31,17.09,14.19,7.14,70.02,chickpea
12.04,28.33,28.49,31.63,52.92,6.39,79.93,mango
45.7,73.59,78.41,13.76,14.18,7.39,79.77,chickpea
19.27,16.6,38.16,22.58,86.51,6.59,96.68,pomegranate
91.47,13.86,53.39,22.43,84.01,6.64,49.47,watermelon
20.96,69.5,21.89,19.15,23.97,5.84,52.62,kidneybeans
24.6,48.48,25.07,28.58,82.53,6.2,35.59,mungbean
99.07,17.62,50.57,28.0,89.82,6.63,26.48,muskmelon
105.14,16.06,56.26,27.27,85.31,6.36,42.22,watermelon
14.68,66.05,23.69,18.74,27.04,5.26,64.88,kidneybeans
109.21,16.4,39.69,28.86,94.55,6.58,21.69,muskmelon
22.42,25.36,29.72,31.18,50.54,6.3,101.44,mango
85.81,36.49,38.36,22.61,77.61,6.09,205.22,rice
42.72,67.02,23.92,31.97,59.0,7.18,65.94,blackgram
40.44,67.99,75.91,17.37,17.85,7.36,78.61,chickpea
119.24,83.3,47.21,24.65,81.87,6.53,102.03,banana
35.74,67.03,12.87,32.3,64.97,7.34,62.73,blackgram
16.22,61.23,24.55,28.68,43.31,5.76,134.61,pigeonpeas
45.75,55.21,48.86,34.34,91.37,7.05,153.62,papaya
27.02,67.09,20.9,29.39,41.65,6.21,153.03,pigeonpeas
13.67,42.3,17.76,23.93,86.14,6.53,34.62,mungbean
22.28,12.74,35.08,21.43,93.83,6.24,150.45,coconut
117.5,41.35,7.13,26.7,82.88,7.06,73.93,cotton
27.09,134.69,195.93,25.92,82.94,5.79,55.72,grapes
21.34,131.1,180.67,21.56,92.47,5.68,95.02,apple
18.4,67.52,18.0,23.38,56.26,6.98,44.68,lentil
91.6,76.17,47.3,25.49,80.9,5.42,91.58,banana
83.96,46.33,37.68,24.64,73.02,6.65,187.39,jute
24.74,141.19,190.67,22.68,89.45,6.07,114.11,apple
19.15,14.06,38.01,21.92,86.7,7.24,96.76,pomegranate
18.08,137.11,195.78,19.82,97.6,5.65,88.39,apple
19.67,48.22,23.81,29.05,85.43,6.54,52.08,mungbean
91.65,11.5,55.09,25.41,91.64,6.53,21.93,muskmelon
95.86,24.39,36.07,26.92,48.69,6.47,158.64,coffee
100.46,30.17,28.89,24.32,57.63,6.71,150.43,coffee
25.91,61.16,20.87,25.81,45.06,5.45,140.88,pigeonpeas
75.83,49.83,47.16,26.6,83.69,6.98,184.92,jute
23.53,64.74,18.12,19.53,19.25,5.68,86.0,kidneybeans
109.79,72.57,44.41,22.43,76.87,6.23,100.03,banana
80.84,49.28,23.93,25.33,70.07,5.95,47.2,maize
74.91,43.78,35.77,21.52,84.56,6.99,152.08,jute
92.73,44.81,17.88,20.75,62.22,6.31,71.89,maize
29.65,74.58,22.41,28.14,46.94,5.41,151.16,pigeonpeas
15.73,24.0,33.17,28.05,55.29,5.84,91.11,mango
26.25,62.91,26.13,20.0,15.4,5.81,44.0,kidneybeans
21.51,13.61,36.66,20.0,84.74,6.73,128.67,pomegranate
99.37,20.14,48.99,25.76,84.88,6.47,52.07,watermelon
39.15,75.18,18.27,29.96,63.59,7.33,87.6,blackgram
76.14,49.11,18.09,24.51,60.53,6.44,55.6,maize
79.6,33.94,36.74,23.05,79.42,5.88,220.13,rice
17.51,47.91,47.48,30.14,47.0,3.0,56.86,mothbeans
15.97,57.19,21.4,15.87,21.38,5.62,71.79,kidneybeans
18.94,23.39,40.79,31.48,45.75,6.26,102.69,mango
123.72,45.82,15.79,22.16,86.34,7.19,99.44,cotton
50.62,53.4,46.33,32.28,90.55,6.6,142.0,papaya
24.95,46.9,40.16,27.38,49.93,3.29,57.83,mothbeans
118.51,48.27,14.92,24.72,79.09,6.98,72.76,cotton
30.2,49.66,20.6,30.36,93.03,6.86,55.59,mungbean
19.2,18.45,4.79,22.17,91.86,7.22,107.75,orange
74.47,43.43,46.86,22.46,77.33,6.53,174.72,jute
36.43,57.9,16.18,27.22,74.52,6.97,64.54,blackgram
22.65,52.94,27.4,29.69,89.49,6.43,38.75,mungbean
97.59,35.19,30.76,25.33,67.93,6.0,142.77,coffee
97.11,90.61,39.03,22.86,80.36,5.87,105.09,banana
17.08,70.79,22.74,31.7,47.12,5.9,151.47,pigeonpeas
45.04,53.03,51.6,33.78,91.61,7.12,154.24,papaya
20.28,111.51,195.79,22.9,92.71,6.07,110.35,apple
15.64,18.61,43.41,23.93,86.32,7.36,116.21,pomegranate
78.2,44.15,20.94,18.89,66.65,6.75,40.06,maize
13.31,37.84,32.08,31.42,53.08,6.21,93.59,mango
21.88,11.7,37.72,26.79,93.71,5.61,175.43,coconut
13.69,137.16,203.35,24.33,92.36,5.4,103.49,apple
16.51,70.88,14.47,24.37,66.26,7.41,38.83,lentil
80.25,39.6,35.73,27.28,81.24,6.53,159.55,jute
15.87,47.98,42.05,27.74,53.36,3.05,43.77,mothbeans
10.79,74.96,21.02,21.0,56.61,7.4,39.1,lentil
26.23,10.9,33.14,24.47,97.77,5.44,195.74,coconut
36.78,53.3,23.74,33.08,63.23,6.92,60.46,blackgram
73.15,36.68,51.22,24.12,84.54,6.48,202.69,jute
18.64,49.5,14.57,28.45,87.66,6.8,32.51,mungbean
110.48,49.53,13.48,25.25,87.13,7.07,86.38,cotton
100.19,19.11,53.18,24.05,83.4,6.69,55.72,watermelon
21.1,131.87,197.77,24.73,91.12,5.98,115.45,apple
27.72,129.52,196.26,21.34,78.77,6.16,69.08,grapes
19.67,14.9,27.46,27.27,93.35,6.05,145.8,coconut
23.94,142.32,207.5,23.66,85.06,5.29,89.52,grapes
100.53,15.57,45.82,22.81,93.31,6.42,34.6,watermelon
79.8,29.66,39.55,21.7,84.01,6.11,181.2,rice
18.17,24.24,31.87,33.62,55.86,5.62,107.89,mango
15.38,29.9,36.11,34.81,64.33,5.73,123.24,mango
101.88,30.03,27.4,27.6,56.0,6.11,149.13,coffee
21.36,18.85,38.3,21.92,90.06,6.46,113.95,pomegranate
104.58,84.38,55.59,27.79,78.75,5.76,102.01,banana
23.41,142.34,219.06,22.63,83.4,6.23,79.73,grapes
76.92,50.8,38.17,22.05,79.34,6.44,183.85,jute
13.95,11.16,10.02,19.35,96.21,6.38,100.4,orange
108.08,42.34,14.03,23.05,77.61,6.19,87.0,cotton
25.57,27.09,31.27,32.62,46.38,6.02,96.26,mango
48.61,65.53,46.43,33.48,87.33,7.22,129.94,papaya
99.46,20.94,46.52,31.73,90.66,6.33,23.59,muskmelon
19.27,34.11,45.89,30.86,45.63,3.32,52.63,mothbeans
68.49,53.12,40.79,24.21,78.49,6.1,185.68,jute
41.41,65.76,87.04,18.98,18.2,7.2,91.73,chickpea
17.71,46.66,49.67,27.55,58.33,3.94,42.67,mothbeans
18.28,19.43,52.65,20.01,86.64,6.47,107.39,pomegranate
103.38,21.45,44.87,28.18,85.85,6.5,46.82,watermelon
22.62,49.05,40.03,28.84,48.72,3.53,39.88,mothbeans
133.2,43.25,15.59,24.59,82.86,7.17,70.38,cotton
52.94,61.3,60.09,34.09,93.15,6.26,133.63,papaya
99.1,19.73,58.06,26.46,84.75,6.91,32.46,watermelon
19.03,35.55,42.73,25.92,49.96,3.46,57.66,mothbeans
84.72,45.79,35.9,23.96,83.24,6.25,237.94,rice
29.28,18.56,37.45,25.74,95.4,6.3,158.87,coconut
18.22,45.57,43.18,23.99,51.06,3.41,55.07,mothbeans
19.03,45.01,50.35,30.54,52.45,3.38,49.55,mothbeans
85.81,55.81,20.13,20.49,67.3,6.3,80.13,maize
76.96,37.64,41.16,21.55,77.78,5.78,195.73,rice
73.84,44.41,23.58,21.41,71.24,6.3,62.79,maize
20.92,14.88,25.66,26.69,94.83,6.06,214.07,coconut
